municip_code_ibge,year,months_suitable
3201902,2002,10
3201902,2003,9
3201902,2004,9
3201902,2005,9
3201902,2006,7
3201902,2007,7
3201902,2008,9
3201902,2009,9
3201902,2010,9
3201902,2011,8
3201902,2012,9
3201902,2013,10
3201902,2014,9
3201902,2015,9
3201902,2016,10
3201902,2017,9
3201902,2018,10
3201902,2019,10
3201902,2020,9
3202009,2001,8
3202009,2002,9
3202009,2003,8
3202009,2004,8
3202009,2005,9
3202009,2006,7
3202009,2007,8
3202009,2008,7
3202009,2009,8
3202009,2010,8
3202009,2011,8
3202009,2012,8
3202009,2013,8
3202009,2014,8
3202009,2015,8
3202009,2016,9
3202009,2017,8
3202009,2018,8
3202009,2019,9
3202009,2020,8
3202108,2001,12
3202108,2002,12
3202108,2003,12
3202108,2004,12
3202108,2005,12
3202108,2006,12
3202108,2007,12
3202108,2008,12
3202108,2009,12
3202108,2010,12
3202108,2011,12
3202108,2012,12
3202108,2013,12
3202108,2014,12
3202108,2015,12
3202108,2016,12
3202108,2017,12
3202108,2018,12
3202108,2019,12
3202108,2020,12
3202207,2001,12
3202207,2002,12
3202207,2003,12
3202207,2004,12
3202207,2005,12
3202207,2006,12
3202207,2007,12
3202207,2008,12
3202207,2009,12
3202207,2010,12
3202207,2011,12
3202207,2012,12
3202207,2013,12
3202207,2014,12
3202207,2015,12
3202207,2016,12
3202207,2017,12
3202207,2018,12
3202207,2019,12
3202207,2020,12
3202256,2001,12
3202256,2002,12
3202256,2003,12
3202256,2004,12
3202256,2005,12
3202256,2006,12
3202256,2007,12
3202256,2008,12
3202256,2009,12
3202256,2010,12
3202256,2011,12
3202256,2012,12
3202256,2013,12
3202256,2014,12
3202256,2015,12
3202256,2016,12
3202256,2017,12
3202256,2018,12
3202256,2019,12
3202256,2020,12
3202306,2001,10
3202306,2002,11
3202306,2003,10
3202306,2004,9
3202306,2005,11
3202306,2006,9
3202306,2007,10
3202306,2008,10
3202306,2009,11
3202306,2010,9
3202306,2011,9
3202306,2012,9
3202306,2013,11
3202306,2014,10
3202306,2015,11
3202306,2016,10
3202306,2017,10
3202306,2018,11
3202306,2019,10
3202306,2020,11
3202405,2001,12
3202405,2002,12
3202405,2003,12
3202405,2004,12
3202405,2005,12
3202405,2006,12
3202405,2007,12
3202405,2008,12
3202405,2009,12
3202405,2010,12
3202405,2011,12
3202405,2012,12
3202405,2013,12
3202405,2014,12
3202405,2015,12
3202405,2016,12
3202405,2017,12
3202405,2018,12
3202405,2019,12
3202405,2020,12
3202454,2001,9
3202454,2002,12
3202454,2003,10
3202454,2004,9
3202454,2005,11
3202454,2006,7
3202454,2007,10
3202454,2008,10
3202454,2009,10
3202454,2010,9
3202454,2011,9
3202454,2012,10
3202454,2013,10
3202454,2014,10
3202454,2015,10
3202454,2016,10
3202454,2017,10
3202454,2018,12
3202454,2019,10
3202454,2020,10
3202504,2001,12
3202504,2002,12
3202504,2003,12
3202504,2004,12
3202504,2005,12
3202504,2006,12
3202504,2007,12
3202504,2008,12
3202504,2009,12
3202504,2010,12
3202504,2011,12
3202504,2012,12
3202504,2013,12
3202504,2014,12
3202504,2015,12
3202504,2016,12
3202504,2017,12
3202504,2018,12
3202504,2019,12
3202504,2020,12
3202553,2001,7
3202553,2002,9
3202553,2003,7
3202553,2004,8
3202553,2005,7
3202553,2006,7
3202553,2007,7
3202553,2008,7
3202553,2009,8
3202553,2010,8
3202553,2011,6
3202553,2012,8
3202553,2013,6
3202553,2014,8
3202553,2015,8
3202553,2016,8
3202553,2017,8
3202553,2018,8
3202553,2019,9
3202553,2020,8
3202603,2001,12
3202603,2002,12
3202603,2003,12
3202603,2004,12
3202603,2005,12
3202603,2006,12
3202603,2007,12
3202603,2008,12
3202603,2009,12
3202603,2010,12
3202603,2011,12
3202603,2012,12
3202603,2013,12
3202603,2014,12
3202603,2015,12
3202603,2016,12
3202603,2017,12
3202603,2018,12
3202603,2019,12
3202603,2020,12
3202652,2001,9
3202652,2002,11
3202652,2003,10
3202652,2004,9
3202652,2005,10
3202652,2006,7
3202652,2007,8
3202652,2008,9
3202652,2009,9
3202652,2010,9
3202652,2011,8
3202652,2012,9
3202652,2013,8
3202652,2014,9
3202652,2015,9
3202652,2016,10
3202652,2017,10
3202652,2018,10
3202652,2019,10
3202652,2020,9
3202702,2001,12
3202702,2002,12
3202702,2003,12
3202702,2004,12
3202702,2005,12
3202702,2006,12
3202702,2007,12
3202702,2008,12
3202702,2009,12
3202702,2010,12
3202702,2011,12
3202702,2012,12
3202702,2013,12
3202702,2014,12
3202702,2015,12
3202702,2016,12
3202702,2017,12
3202702,2018,12
3202702,2019,12
3202702,2020,12
3202801,2001,12
3202801,2002,12
3202801,2003,12
3202801,2004,12
3202801,2005,12
3202801,2006,12
3202801,2007,12
3202801,2008,12
3202801,2009,12
3202801,2010,12
3202801,2011,12
3202801,2012,12
3202801,2013,12
3202801,2014,12
3202801,2015,12
3202801,2016,12
3202801,2017,12
3202801,2018,12
3202801,2019,12
3202801,2020,12
3202900,2001,12
3202900,2002,12
3202900,2003,12
3202900,2004,10
3202900,2005,12
3202900,2006,10
3202900,2007,12
3202900,2008,11
3202900,2009,12
3202900,2010,10
3202900,2011,11
3202900,2012,12
3202900,2013,12
3202900,2014,12
3202900,2015,12
3202900,2016,12
3202900,2017,11
3202900,2018,12
3202900,2019,12
3202900,2020,12
3203007,2001,8
3203007,2002,10
3203007,2003,10
3203007,2004,9
3203007,2005,10
3203007,2006,7
3203007,2007,8
3203007,2008,9
3203007,2009,8
3203007,2010,9
3203007,2011,8
3203007,2012,8
3203007,2013,8
3203007,2014,9
3203007,2015,8
3203007,2016,10
3203007,2017,9
3203007,2018,8
3203007,2019,10
3203007,2020,8
3203056,2001,12
3203056,2002,12
3203056,2003,12
3203056,2004,12
3203056,2005,12
3203056,2006,12
3203056,2007,12
3203056,2008,12
3203056,2009,12
3203056,2010,12
3203056,2011,12
3203056,2012,12
3203056,2013,12
3203056,2014,12
3203056,2015,12
3203056,2016,12
3203056,2017,12
3203056,2018,12
3203056,2019,12
3203056,2020,12
3203106,2001,12
3203106,2002,12
3203106,2003,12
3203106,2004,11
3203106,2005,12
3203106,2006,12
3203106,2007,12
3203106,2008,11
3203106,2009,12
3203106,2010,11
3203106,2011,11
3203106,2012,12
3203106,2013,12
3203106,2014,12
3203106,2015,12
3203106,2016,12
3203106,2017,11
3203106,2018,12
3203106,2019,12
3203106,2020,12
3203130,2001,12
3203130,2002,12
3203130,2003,12
3203130,2004,12
3203130,2005,12
3203130,2006,12
3203130,2007,12
3203130,2008,12
3203130,2009,12
3203130,2010,12
3203130,2011,12
3203130,2012,12
3203130,2013,12
3203130,2014,12
3203130,2015,12
3203130,2016,12
3203130,2017,12
3203130,2018,12
3203130,2019,12
3203130,2020,12
3203163,2001,12
3203163,2002,12
3203163,2003,12
3203163,2004,12
3203163,2005,12
3203163,2006,12
3203163,2007,12
3203163,2008,12
3203163,2009,12
3203163,2010,12
3203163,2011,12
3203163,2012,12
3203163,2013,12
3203163,2014,12
3203163,2015,12
3203163,2016,12
3203163,2017,12
3203163,2018,12
3203163,2019,12
3203163,2020,12
3203205,2001,12
3203205,2002,12
3203205,2003,12
3203205,2004,12
3203205,2005,12
3203205,2006,12
3203205,2007,12
3203205,2008,12
3203205,2009,12
3203205,2010,12
3203205,2011,12
3203205,2012,12
3203205,2013,12
3203205,2014,12
3203205,2015,12
3203205,2016,12
3203205,2017,12
3203205,2018,12
3203205,2019,12
3203205,2020,12
3203304,2001,12
3203304,2002,12
3203304,2003,12
3203304,2004,12
3203304,2005,12
3203304,2006,12
3203304,2007,12
3203304,2008,12
3203304,2009,12
3203304,2010,12
3203304,2011,12
3203304,2012,12
3203304,2013,12
3203304,2014,12
3203304,2015,12
3203304,2016,12
3203304,2017,12
3203304,2018,12
3203304,2019,12
3203304,2020,12
3203320,2001,12
3203320,2002,12
3203320,2003,12
3203320,2004,12
3203320,2005,12
3203320,2006,12
3203320,2007,12
3203320,2008,12
3203320,2009,12
3203320,2010,12
3203320,2011,12
3203320,2012,12
3203320,2013,12
3203320,2014,12
3203320,2015,12
3203320,2016,12
3203320,2017,12
3203320,2018,12
3203320,2019,12
3203320,2020,12
3203346,2001,8
3203346,2002,11
3203346,2003,10
3203346,2004,9
3203346,2005,10
3203346,2006,8
3203346,2007,9
3203346,2008,10
3203346,2009,10
3203346,2010,9
3203346,2011,8
3203346,2012,9
3203346,2013,10
3203346,2014,9
3203346,2015,10
3203346,2016,10
3203346,2017,10
3203346,2018,10
3203346,2019,10
3203346,2020,10
3203353,2001,12
3203353,2002,12
3203353,2003,12
3203353,2004,12
3203353,2005,12
3203353,2006,12
3203353,2007,12
3203353,2008,12
3203353,2009,12
3203353,2010,12
3203353,2011,12
3203353,2012,12
3203353,2013,12
3203353,2014,12
3203353,2015,12
3203353,2016,12
3203353,2017,12
3203353,2018,12
3203353,2019,12
3203353,2020,12
3203403,2001,12
3203403,2002,12
3203403,2003,12
3203403,2004,12
3203403,2005,12
3203403,2006,12
3203403,2007,12
3203403,2008,12
3203403,2009,12
3203403,2010,12
3203403,2011,12
3203403,2012,12
3203403,2013,12
3203403,2014,12
3203403,2015,12
3203403,2016,12
3203403,2017,12
3203403,2018,12
3203403,2019,12
3203403,2020,12
3203502,2001,12
3203502,2002,12
3203502,2003,12
3203502,2004,12
3203502,2005,12
3203502,2006,12
3203502,2007,12
3203502,2008,12
3203502,2009,12
3203502,2010,12
3203502,2011,12
3203502,2012,12
3203502,2013,12
3203502,2014,12
3203502,2015,12
3203502,2016,12
3203502,2017,12
3203502,2018,12
3203502,2019,12
3203502,2020,12
3203601,2001,12
3203601,2002,12
3203601,2003,12
3203601,2004,12
3203601,2005,12
3203601,2006,12
3203601,2007,12
3203601,2008,12
3203601,2009,12
3203601,2010,12
3203601,2011,12
3203601,2012,12
3203601,2013,12
3203601,2014,12
3203601,2015,12
3203601,2016,12
3203601,2017,12
3203601,2018,12
3203601,2019,12
3203601,2020,12
3203700,2001,9
3203700,2002,11
3203700,2003,10
3203700,2004,9
3203700,2005,10
3203700,2006,8
3203700,2007,8
3203700,2008,10
3203700,2009,9
3203700,2010,9
3203700,2011,9
3203700,2012,9
3203700,2013,10
3203700,2014,9
3203700,2015,10
3203700,2016,10
3203700,2017,10
3203700,2018,10
3203700,2019,10
3203700,2020,10
3203809,2001,12
3203809,2002,12
3203809,2003,12
3203809,2004,11
3203809,2005,11
3203809,2006,11
3203809,2007,12
3203809,2008,11
3203809,2009,12
3203809,2010,10
3203809,2011,10
3203809,2012,12
3203809,2013,12
3203809,2014,12
3203809,2015,12
3203809,2016,12
3203809,2017,11
3203809,2018,12
3203809,2019,12
3203809,2020,12
3203908,2001,12
3203908,2002,12
3203908,2003,12
3203908,2004,12
3203908,2005,12
3203908,2006,12
3203908,2007,12
3203908,2008,12
3203908,2009,12
3203908,2010,12
3203908,2011,12
3203908,2012,12
3203908,2013,12
3203908,2014,12
3203908,2015,12
3203908,2016,12
3203908,2017,12
3203908,2018,12
3203908,2019,12
3203908,2020,12
3204005,2001,12
3204005,2002,12
3204005,2003,12
3204005,2004,12
3204005,2005,12
3204005,2006,12
3204005,2007,12
3204005,2008,12
3204005,2009,12
3204005,2010,12
3204005,2011,12
3204005,2012,12
3204005,2013,12
3204005,2014,12
3204005,2015,12
3204005,2016,12
3204005,2017,12
3204005,2018,12
3204005,2019,12
3204005,2020,12
3204054,2001,12
3204054,2002,12
3204054,2003,12
3204054,2004,12
3204054,2005,12
3204054,2006,12
3204054,2007,12
3204054,2008,12
3204054,2009,12
3204054,2010,12
3204054,2011,12
3204054,2012,12
3204054,2013,12
3204054,2014,12
3204054,2015,12
3204054,2016,12
3204054,2017,12
3204054,2018,12
3204054,2019,12
3204054,2020,12
3204104,2001,12
3204104,2002,12
3204104,2003,12
3204104,2004,12
3204104,2005,12
3204104,2006,12
3204104,2007,12
3204104,2008,12
3204104,2009,12
3204104,2010,12
3204104,2011,12
3204104,2012,12
3204104,2013,12
3204104,2014,12
3204104,2015,12
3204104,2016,12
3204104,2017,12
3204104,2018,12
3204104,2019,12
3204104,2020,12
3204203,2001,12
3204203,2002,12
3204203,2003,12
3204203,2004,12
3204203,2005,12
3204203,2006,12
3204203,2007,12
3204203,2008,12
3204203,2009,12
3204203,2010,12
3204203,2011,12
3204203,2012,12
3204203,2013,12
3204203,2014,12
