state_code,state_name,year,month,tmean
12,Acre,2017,12,25.4894044182517
12,Acre,2018,1,24.9159898757935
12,Acre,2018,2,24.9593606428667
12,Acre,2018,3,25.068095554005
12,Acre,2018,4,24.6048379377885
12,Acre,2018,5,24.1134325374257
12,Acre,2018,6,23.0718531175093
12,Acre,2018,7,24.8649533011697
12,Acre,2018,8,24.0360825278542
12,Acre,2018,9,26.342396736145
12,Acre,2018,10,25.8721470399336
12,Acre,2018,11,25.3196985938332
12,Acre,2018,12,24.6956080523404
12,Acre,2019,1,24.7653916965832
12,Acre,2019,2,25.1524970314719
12,Acre,2019,3,25.0761478597468
12,Acre,2019,4,25.2036614851518
12,Acre,2019,5,24.7195163206621
12,Acre,2019,6,24.9421328631314
12,Acre,2019,7,24.4062090787021
12,Acre,2019,8,25.5853299227628
12,Acre,2019,9,27.0099560997703
12,Acre,2019,10,25.3145510066639
12,Acre,2019,11,25.4320477572354
12,Acre,2019,12,25.1997635581277
12,Acre,2020,1,25.9605656537143
12,Acre,2020,2,25.5552277998491
12,Acre,2020,3,25.5434970855713
12,Acre,2020,4,24.8777315833352
12,Acre,2020,5,23.9708010066639
12,Acre,2020,6,24.7859984311191
12,Acre,2020,7,24.7803939472545
12,Acre,2020,8,26.0658996755427
12,Acre,2020,9,27.1947032755072
12,Acre,2020,10,27.2170903465965
12,Acre,2020,11,26.5245716788552
12,Acre,2020,12,25.2736049131914
13,Amazonas,2001,1,24.391011545735
13,Amazonas,2001,2,24.7775573422832
13,Amazonas,2001,3,25.1077992223924
13,Amazonas,2001,4,25.0750751802998
13,Amazonas,2001,5,24.943612775495
13,Amazonas,2001,6,23.6407206750685
13,Amazonas,2001,7,24.3957527222172
13,Amazonas,2001,8,25.9464203926825
13,Amazonas,2001,9,25.5226193397276
13,Amazonas,2001,10,26.6453295676939
13,Amazonas,2001,11,26.5472660679971
13,Amazonas,2001,12,25.746473404669
13,Amazonas,2002,1,25.6737426942395
13,Amazonas,2002,2,25.4644182266728
13,Amazonas,2002,3,25.4650600494877
13,Amazonas,2002,4,25.2823040562291
13,Amazonas,2002,5,25.1328714432255
13,Amazonas,2002,6,24.7275571207847
13,Amazonas,2002,7,25.0446053166543
13,Amazonas,2002,8,25.4658900230162
13,Amazonas,2002,9,26.3969637347806
13,Amazonas,2002,10,26.5325344147221
13,Amazonas,2002,11,25.8963105601649
13,Amazonas,2002,12,25.6569895590505
13,Amazonas,2003,1,26.3071585624449
13,Amazonas,2003,2,25.7401035678002
13,Amazonas,2003,3,25.495835919534
13,Amazonas,2003,4,25.2397048396449
13,Amazonas,2003,5,24.9061447574246
13,Amazonas,2003,6,24.5192624061338
13,Amazonas,2003,7,25.06433908401
13,Amazonas,2003,8,25.3548845168083
13,Amazonas,2003,9,25.5820015322778
13,Amazonas,2003,10,26.1448525151899
13,Amazonas,2003,11,25.9683890496531
13,Amazonas,2003,12,26.0053606340962
13,Amazonas,2004,1,26.0034378728559
13,Amazonas,2004,2,25.4571279402702
13,Amazonas,2004,3,25.3572953131891
13,Amazonas,2004,4,25.6009685147193
13,Amazonas,2004,5,24.7680827417681
13,Amazonas,2004,6,24.4935910317206
13,Amazonas,2004,7,24.5967505978
